3 machines found
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
CRF loss
Parsing training data: ./train_petsc.txt
Parsing test data: ./test_petsc.txt
Data loading completed
====================  Summary of settings =================
Training data: ./train_petsc.txt
Test data: ./test_petsc.txt
loss: CRF, lambda: 1.000000e-02, Processors: 3
dim: 129, classes: 26
Train: #word=3438, #letter=25953
Test: #word=3439, #letter=26198
===========================================================
iter fn.val gap time feval.num train_lett_err train_word_err test_lett_err test_word_err 
0 24.5949 4.55704 0.49367 1 92.309174 100.000000 92.220780 100.000000
1 20.2739 5.06741 1.96142 3 71.379031 100.000000 71.421483 100.000000
2 17.4704 3.61542 2.69586 4 66.593457 99.825480 66.310405 99.883687
3 15.3901 2.63468 3.43031 5 53.300197 97.614892 53.347584 97.644664
4 13.3736 2.08734 4.16356 6 45.339652 96.160558 45.564547 95.318407
5 11.2459 2.44809 4.8984 7 39.586946 91.884817 40.327506 92.323350
6 9.9042 1.15227 5.63275 8 33.880476 87.347295 34.666768 87.874382
7 9.4286 0.853025 6.36835 9 31.745848 84.671321 32.502481 85.664437
8 8.70224 0.850156 7.10423 10 28.701884 80.744619 29.757997 82.465833
9 8.24265 1.4989 7.84058 11 27.314761 77.981385 28.242614 78.598430
10 7.83496 0.731001 8.57669 12 24.671522 73.414776 25.883655 74.963652
11 7.61961 0.551096 9.31272 13 23.931723 73.094823 25.108787 73.945915
12 7.28794 0.574942 10.0514 14 22.479097 70.215241 23.711734 72.259378
13 6.99802 0.789716 10.79 15 21.585173 68.848168 22.852890 71.154405
14 6.78807 0.623107 11.5283 16 20.352175 66.550320 21.574166 69.293399
15 6.65733 0.357917 12.2665 17 19.731823 65.154159 21.112299 68.333818
16 6.52062 0.338078 13.0055 18 18.903402 62.332752 20.520650 66.908985
17 6.43613 0.487872 13.7453 19 18.683775 61.518325 20.360333 65.513231
18 6.32789 0.328913 14.4845 20 17.847648 59.191390 19.959539 64.001163
19 6.22654 0.231715 15.2249 21 17.385273 57.998837 19.524391 62.779878
20 6.15929 0.373875 15.9653 22 16.872809 56.835369 18.871670 61.994766
21 6.09691 0.22917 16.7062 23 16.776481 56.660849 18.841133 62.314626
22 6.05967 0.18115 17.4461 24 16.684006 56.253636 18.654096 61.558593
23 6.00906 0.227068 18.1869 25 16.502909 55.817336 18.325826 60.482698
24 5.98874 0.211529 19.6644 27 16.468231 55.439209 18.047179 59.784821
25 5.97055 0.144522 20.4054 28 16.267869 54.973822 18.035728 59.377726
26 5.94755 0.138849 21.1466 29 16.121450 54.392088 17.955569 58.883396
27 5.927 0.208628 21.8894 30 15.894116 54.159395 17.955569 58.796162
28 5.90612 0.140465 22.6331 31 15.624398 53.461315 17.699824 58.447223
29 5.89468 0.16575 23.3747 32 15.531923 53.025015 17.642568 57.894737
30 5.88704 0.0966432 24.1166 33 15.477979 52.879581 17.604397 57.807502
31 5.8795 0.0913159 24.8581 34 15.366239 52.734148 17.493702 57.836580
32 5.86986 0.1144 25.5987 35 15.350826 52.414194 17.413543 57.923815
33 5.86822 0.284654 26.3398 36 15.227527 51.919721 17.543324 57.981972
34 5.85767 0.0750318 27.0818 37 15.254499 51.832461 17.386823 57.778424
35 5.85542 0.0470989 27.8232 38 15.254499 51.716114 17.344835 57.603955
36 5.85268 0.059834 28.5655 39 15.173583 51.512507 17.295213 57.371329
37 5.84898 0.0645322 29.3081 40 15.162024 51.367074 17.356287 57.516720
38 5.84773 0.172028 30.0501 41 15.188995 51.250727 17.394458 57.225938
39 5.84266 0.0462959 30.7929 42 15.073402 51.076207 17.363921 57.255016
40 5.8415 0.0322726 31.534 43 15.092668 51.134380 17.341018 57.167781
41 5.83999 0.0383303 32.277 44 15.073402 51.105294 17.283762 56.993312
42 5.83814 0.0543862 33.0193 45 15.046430 51.018034 17.215055 57.022390
43 5.83767 0.0877579 33.7608 46 14.996340 50.872600 17.165432 56.818843
44 5.83626 0.02632 34.504 47 15.077255 50.988947 17.195969 57.080547
45 5.83587 0.0217495 35.2459 48 15.084961 50.988947 17.199786 57.051468
46 5.8351 0.0265253 35.989 49 14.984780 50.785340 17.150164 56.876999
47 5.83463 0.0535838 36.7302 50 14.996340 50.727167 17.157798 56.789764
48 5.83405 0.021009 37.4715 51 14.946249 50.698080 17.092908 56.731608
49 5.83377 0.0145827 38.2128 52 14.915424 50.523560 17.081457 56.644373
50 5.83352 0.0164362 38.9555 53 14.934690 50.552647 17.070005 56.673452
51 5.83309 0.022798 39.6832 54 14.896158 50.494474 17.054737 56.615295
52 5.83286 0.0232719 41.1496 56 14.934690 50.639907 17.062371 56.644373
53 5.83263 0.0111792 41.8818 57 14.961661 50.639907 17.070005 56.702530
54 5.83248 0.0116656 42.6079 58 14.953955 50.610820 17.073822 56.789764
55 5.83234 0.018809 43.3444 59 14.957808 50.756254 17.070005 56.702530
56 5.83217 0.0116909 44.0848 60 14.946249 50.727167 17.050920 56.789764
57 5.83204 0.00928678 44.827 61 14.961661 50.727167 17.066188 56.789764
58 5.83193 0.0121895 45.589 62 14.934690 50.639907 17.077640 56.789764
59 5.83185 0.0114371 46.3317 63 14.946249 50.668994 17.070005 56.789764
60 5.83179 0.00690382 47.0712 64 14.950102 50.668994 17.066188 56.789764
61 5.83172 0.00649203 47.7997 65 14.965515 50.727167 17.047103 56.760686
62 5.83168 0.0103777 48.5266 66 14.946249 50.756254 17.070005 56.818843
63 5.83163 0.00688536 49.2536 67 14.957808 50.814427 17.062371 56.847921
64 5.83157 0.00667638 49.9961 68 14.961661 50.843514 17.020383 56.702530
65 5.83154 0.00771008 50.7387 69 14.965515 50.901687 17.054737 56.818843
66 5.83152 0.00476228 51.4628 70 14.961661 50.843514 17.047103 56.760686
67 5.83148 0.00447423 52.2055 71 14.984780 50.901687 17.031834 56.760686
Optimization converged with status CONVERGED_GTTOL.
Total CPU time: 51.05 seconds 
Total wallclock time: 52.2055 seconds 
Objective/gradient CPU time: 50.78 seconds 
Objective/gradient wallclock time: 51.8724 seconds 
